name,ring,quadrant,isNew,description
React,Adopt,Frameworks,TRUE,React is a free and open-source front-end JavaScript library for building user interfaces based on UI components. It is maintained by Meta and a community of individual developers and companies. React can be used as a base in the development of single-page or mobile applications. Used in FDO at Microsoft. Used at LaSalle/LAMP
GraphQL,Adopt,Frameworks,TRUE,"GraphQL is an open-source data query and manipulation language for APIs, and a runtime for fulfilling queries with existing data. Used at LaSalle/LAMP"
React-query,Adopt,Frameworks,TRUE,"Fetch, cache and update data in your React and React Native applications all without touching any ""global state""."
React Native,Adopt,Frameworks,TRUE,"React Native is an open-source UI software framework used to develop applications for Android, Android TV, iOS, macOS, tvOS, Web, Windows and UWP by enabling developers to use the React framework along with native platform capabilities"
Xamarin iOS / Xamarin Android,Adopt,Frameworks,TRUE,Valorem has done work on these for MSFT XBox video & Channel 9 apps
Xamarin Forms,Adopt,Frameworks,TRUE,Valorem has worked on these before
.NET / .NET Core,Adopt,Platforms,TRUE,"NET Core is the latest version of Microsoftâ€™s .NET Framework( The framework is a re-usable design platform for software systems, which provides support for code libraries and various scripting languages ), which is a free, open-source, general-purpose programming platform. It's a cross-platform framework that works with Windows, Mac OS X, and Linux.Used in MW"
Docker,Adopt,Platforms,TRUE,Docker is a set of platform as a service products that use OS-level virtualization to deliver software in packages called containers. Used at LaSalle on the LAMP product; Used at LaSalle/LAMP. Used in MW
Kubernetes,Adopt,Platforms,TRUE,"Kubernetes is an open-source container orchestration system for automating software deployment, scaling, and management. Used at LaSalle/LAMP"
Azure Service Bus,Adopt,Platforms,TRUE,Azure Service Bus is a fully managed enterprise message broker with message queues and publish-subscribe topics.Used in MW
Azure FrontDoor,Adopt,Platforms,TRUE,Azure Front Door is an application delivery network (ADN) service that offers Layer 7 load-balancing capabilities for your applications. Used at LaSalle/LAMP
Azure App Service,Adopt,Platforms,TRUE,"Azure Web Apps is a cloud computing based platform for hosting websites, created and operated by Microsoft. It is a platform as a service which allows publishing Web apps running on multiple frameworks and written in different programming languages.Used in MW"
Azure Function Apps,Adopt,Platforms,TRUE,Azure Functions (from Microsoft Azure) is a cloud-based serverless service that allows running event-triggered code in a scalable way without providing or managing infrastructure. It enables the capability to run a script or piece of code in response to a variety of events and doesn't need to run continuously. Used at LaSalle/LAMP
