name,ring,quadrant,isNew,description
React,Adopt,Frameworks,TRUE,React is a free and open-source front-end JavaScript library for building user interfaces based on UI components. It is maintained by Meta and a community of individual developers and companies. React can be used as a base in the development of single-page or mobile applications
GraphQL,Adopt,Frameworks,TRUE,"GraphQL is an open-source data query and manipulation language for APIs, and a runtime for fulfilling queries with existing data."
React-query,Adopt,Frameworks,TRUE,"Fetch, cache and update data in your React and React Native applications all without touching any ""global state""."
Azure Active Directory,Adopt,Platforms,TRUE,"Azure Active Directory provides an identity platform with enhanced security, access management, scalability, and reliability."
.NET / .NET Core,Adopt,Platforms,TRUE,"NET Core is the latest version of Microsoftâ€™s .NET Framework( The framework is a re-usable design platform for software systems, which provides support for code libraries and various scripting languages ), which is a free, open-source, general-purpose programming platform. Itâ€™s a cross-platform framework that works with Windows, Mac OS X, and Linux."
Docker,Adopt,Platforms,TRUE,Docker is a set of platform as a service products that use OS-level virtualization to deliver software in packages called containers.
Kubernetes,Adopt,Platforms,TRUE,"Kubernetes is an open-source container orchestration system for automating software deployment, scaling, and management."
Azure Service Bus,Adopt,Platforms,TRUE,Azure Service Bus is a fully managed enterprise message broker with message queues and publish-subscribe topics
SQL,Adopt,Platforms,TRUE,
Azure FrontDoor,Adopt,Platforms,TRUE,Azure Front Door is an application delivery network (ADN) service that offers Layer 7 load-balancing capabilities for your applications. 
Azure App Service,Adopt,Platforms,TRUE,"Azure Web Apps is a cloud computing based platform for hosting websites, created and operated by Microsoft. It is a platform as a service which allows publishing Web apps running on multiple frameworks and written in different programming languages"
Azure Function Apps,Adopt,Platforms,TRUE,Azure Functions (from Microsoft Azure) is a cloud-based serverless service that allows running event-triggered code in a scalable way without providing or managing infrastructure. It enables the capability to run a script or piece of code in response to a variety of events and doesn't need to run continuously.
Azure App Insights,Adopt,Platforms,TRUE,Application Insights is a feature of Azure Monitor that provides extensible application performance management (APM) and monitoring for live web apps
SQL Azure,Adopt,Platforms,TRUE,Fully Managed SQL Server databses. Used for Relational Data Stores
Azure Cosmos DB,Adopt,Platforms,TRUE,Fully Managed NoSQL Databse. Used for Document Data Sroes.
Key Vault,Adopt,Platforms,TRUE,Azure Key Vault is a cloud service for securely storing and accessing secrets.
Kanban,Adopt,Techniques,TRUE,
Scrum,Adopt,Techniques,TRUE,
Visual Studio 2022,Adopt,Tools,TRUE,
Visual Studio Code,Adopt,Tools,TRUE,
Git Bash,Adopt,Tools,TRUE,
Helm Charts,Adopt,Tools,TRUE,
Terraform,Adopt,Tools,TRUE,
Azure DevOps Pipelines,Adopt,Tools,TRUE,
Notebooks,Adopt,Tools,TRUE,Share behavior/code between individuals in isolcation allowing for commits into repositories without the need for a full application.
cert-manager.io,Trial,Platforms,TRUE,
Octopus Deply,Trial,Platforms,TRUE,Automate Development workflows.
Database Migration Service,Trial,Platforms,TRUE,Automates the movement of data from on-prem databases into the cloud.
Event storming,Trial,Techniques,TRUE,
Feature flags / toggles,Trial,Techniques,TRUE,
GitHub Actions,Trial,Tools,TRUE,
K6.io,Trial,Tools,TRUE,
mabl,Trial,Tools,TRUE,
Text Analytics,Trial,Tools,TRUE,"Extract information from free-form text such as Sentiment, entities and language."
Azure Service Fabric,Assess,Platforms,TRUE,
Blazor,Assess,Frameworks,TRUE,
.NET MAUI,Assess,Frameworks,TRUE,
Xamarin iOS / Xamarin Android,Assess,Frameworks,TRUE,Valorem has done work on these for MSFT XBox video & Channel 9 apps
Xamarin Forms,Assess,Frameworks,TRUE,Valorem has worked on these before
React Native,Assess,Frameworks,TRUE,
Flutter,Assess,Frameworks,TRUE,
Python,Assess,Frameworks,TRUE,
